topico,ordem,termo,peso
0,1,bom,5.94848441559824
0,2,qualidade,0.14505251341459097
0,3,recomendo,0.1337459476979265
0,4,gostar,0.10335667356772948
0,5,atendimento,0.0992224251132691
0,6,entrega,0.07875231975109545
0,7,preço,0.0768272520481462
0,8,tudo,0.06834395587724297
0,9,material,0.045682099097649
0,10,vendedor,0.03890500315503069
0,11,comprar,0.03820900224860875
0,12,bonito,0.029599418851855238
1,1,prazo,3.1258663442966643
1,2,antes,2.9763508858662275
1,3,chegar,2.378155768051002
1,4,bem,0.9804297068869365
1,5,prever,0.6275140737201147
1,6,tudo,0.4328951783936465
1,7,dentro,0.37772476152127876
1,8,perfeito,0.3670985954612932
1,9,entregar,0.2910169962584503
1,10,entrega,0.24592513593234874
1,11,embalar,0.24521122707620016
1,12,esperar,0.22840305462862964
2,1,recomendar,4.235241509309732
2,2,todo,0.28086332225530086
2,3,qualidade,0.23086434755629692
2,4,ótimo,0.14263858479779734
2,5,sim,0.09417739138113353
2,6,super,0.0872770338724465
2,7,vendedor,0.06783115299380316
2,8,gostar,0.06327677129047758
2,9,recomer,0.05458805088939264
2,10,lannister,0.049971110041533436
2,11,site,0.04369569329984266
2,12,comprar,0.04031458755916319
3,1,entregar,3.7481359743911757
3,2,rápido,2.183855368063145
3,3,super,1.389789647507867
3,4,recomendo,1.0395131487830946
3,5,prazo,0.5744544229731338
3,6,qualidade,0.4174674154571395
3,7,entrega,0.3621508838009346
3,8,ótimo,0.3560938968036926
3,9,dentro,0.2901571026730664
3,10,rapir,0.20444299863430276
3,11,gostar,0.17698481924195839
3,12,recomer,0.16928807357667613
4,1,excelente,3.968581914717408
4,2,qualidade,0.4211330416879467
4,3,recomendo,0.25272905223450837
4,4,atendimento,0.19873978643016554
4,5,entrega,0.19346444482852082
4,6,recomer,0.10309559885769251
4,7,super,0.09655665356369375
4,8,parabéns,0.07392110149262988
4,9,preço,0.07068620471338916
4,10,sempre,0.06499410841513355
4,11,serviço,0.06444182770528335
4,12,satisfeito,0.0601773646784498
5,1,recebi,2.95380831923355
5,2,otimo,1.4395340602700344
5,3,ainda,1.1764309213326367
5,4,nao,0.6050595707813526
5,5,gostar,0.531861913201021
5,6,comprei,0.48568492453123613
5,7,entrega,0.4227530530959813
5,8,ter,0.3606263750694288
5,9,dia,0.3595911430466048
5,10,vir,0.31748145589709764
5,11,tudo,0.3005487132689281
5,12,outro,0.24760286835098036
